CO_MUNICIPIO,SG_UF,REGIAO,PC_ALUNO_ALFABETIZADO_2025,PROBABILIDADE_RISCO_NAO_ATINGIR_META,ALERTA_F1_OTIMO,ALERTA_RECALL_80
4311791,RS,Sul,77.2,0.6806883421419853,True,True
4323606,RS,Sul,100.0,0.6803103615471773,True,True
1300300,AM,Norte,37.11,0.6800130842169676,True,True
4316303,RS,Sul,86.17,0.6794562033857393,True,True
4208450,SC,Sul,61.35,0.6794364197320237,True,True
4202305,SC,Sul,41.81,0.6791794805038784,True,True
4314787,RS,Sul,96.31,0.6785714543189298,True,True
4322343,RS,Sul,84.62,0.6785472116085713,True,True
4203709,SC,Sul,48.99,0.6784841525172595,True,True
3300456,RJ,Sudeste,35.63,0.6778383169411385,True,True
1302900,AM,Norte,50.38,0.6767982483876145,True,True
1301209,AM,Norte,37.03,0.6766470458993231,True,True
4315156,RS,Sul,95.83,0.6766438399821422,True,True
4202057,SC,Sul,51.88,0.6765108114906243,True,True
4315354,RS,Sul,94.74,0.6754938878064164,True,True
4310009,RS,Sul,34.29,0.6753259447253831,True,True
4307054,RS,Sul,82.22,0.6748382177965552,True,True
4312179,RS,Sul,100.0,0.6744754947621798,True,True
3539103,SP,Sudeste,47.65,0.6737819874304924,True,True
1301852,AM,Norte,41.23,0.6737484946620426,True,True
4322186,RS,Sul,50.0,0.6737146317102979,True,True
4316204,RS,Sul,82.91,0.6736216716874137,True,True
1502608,PA,Norte,52.19,0.6731290076705857,True,True
3529708,SP,Sudeste,48.65,0.6723077978341588,True,True
4312005,RS,Sul,90.91,0.6720214901418592,True,True
4211900,SC,Sul,50.89,0.6715595649115268,True,True
2411502,RN,Nordeste,45.75,0.670386226008268,True,True
4312757,RS,Sul,85.68,0.6701935399516433,True,True
1502905,PA,Norte,53.15,0.670115342558591,True,True
4218004,SC,Sul,48.93,0.6698902106198331,True,True
1500859,PA,Norte,40.1,0.6697428063867089,True,True
4313003,RS,Sul,88.21,0.6693520288690779,True,True
1300706,AM,Norte,54.74,0.6691839972692568,True,True
4314308,RS,Sul,89.0,0.6684224531274203,True,True
4321329,RS,Sul,92.86,0.6675239795575891,True,True
4322855,RS,Sul,100.0,0.6663257474103788,True,True
4319109,RS,Sul,56.8,0.6662776821438882,True,True
4313805,RS,Sul,88.21,0.6653453320088254,True,True
4315453,RS,Sul,94.12,0.6648526349421909,True,True
4212502,SC,Sul,62.07,0.6631580262831526,True,True
4207304,SC,Sul,60.54,0.6631065562452796,True,True
4305603,RS,Sul,81.82,0.6625387785340084,True,True
4311908,RS,Sul,78.71,0.6619349417016823,True,True
3302007,RJ,Sudeste,47.46,0.6617810458619241,True,True
1303106,AM,Norte,48.06,0.6617641401544558,True,True
4315313,RS,Sul,62.5,0.6612501046416895,True,True
4322103,RS,Sul,85.71,0.6604317313278667,True,True
4307005,RS,Sul,67.02,0.6595223693477812,True,True
4300505,RS,Sul,78.99,0.6595014066127378,True,True
3301900,RJ,Sudeste,55.75,0.6589416538103532,True,True
1400704,RR,Norte,49.95,0.6584480227611309,True,True
4305587,RS,Sul,75.58,0.6581706697283307,True,True
4318606,RS,Sul,70.67,0.6576091247663693,True,True
3531803,SP,Sudeste,52.73,0.6569168275659213,True,True
4302238,RS,Sul,78.83,0.6565665944140263,True,True
4305959,RS,Sul,63.79,0.6558902662786992,True,True
4313359,RS,Sul,100.0,0.6557525542773236,True,True
4300109,RS,Sul,65.99,0.6548961393048145,True,True
4309803,RS,Sul,87.5,0.654698202195836,True,True
2410504,RN,Nordeste,48.07,0.6543484063787515,True,True
3304144,RJ,Sudeste,43.12,0.6539643790512435,True,True
3301801,RJ,Sudeste,47.87,0.6528940559605392,True,True
3502754,SP,Sudeste,47.38,0.6528295850169102,True,True
2412005,RN,Nordeste,37.44,0.6523054402310667,True,True
3551009,SP,Sudeste,43.4,0.6501988270070987,True,True
3534401,SP,Sudeste,50.03,0.649912003312706,True,True
4204558,SC,Sul,55.13,0.6496847661122451,True,True
3523503,SP,Sudeste,55.75,0.649589163946997,True,True
4305116,RS,Sul,85.71,0.6489959214017059,True,True
